,id,review_count,cusine,reviews
0,sungei-road-laksa-singapore-2,38,singaporean,"{'reviews': [{'url': 'https://www.yelp.com/biz/sungei-road-laksa-singapore-2?hrid=9gEHzL3wmcUeWlV48F5_HA&adjust_creative=RAR4mRD7RoBdxl3I0__7fQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=RAR4mRD7RoBdxl3I0__7fQ', 'text': ""The laksa here is so good. And at $3 it really is a steal. \n\nIt's located at a hawker stall. After reading the reviews about it being small, my wife and i..."", 'rating': 5, 'user': {'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/VRlp6Cr8vGTQ-JujWcmcRA/o.jpg', 'name': 'Angelo B.'}, 'time_created': '2017-09-04 14:25:34'}, {'url': 'https://www.yelp.com/biz/sungei-road-laksa-singapore-2?hrid=M3Ut71ikOB2gSg6MPOSNIQ&adjust_creative=RAR4mRD7RoBdxl3I0__7fQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=RAR4mRD7RoBdxl3I0__7fQ', 'text': '$3 is very, very cheap, considering the price of Singapore food these days. The queue is massive however, and it makes me think twice whether or not the...', 'rating': 5, 'user': {'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/DFVdlUh2kJd6i0hv8IT2bg/o.jpg', 'name': 'Tricia T.'}, 'time_created': '2017-09-02 05:34:28'}, {'url': 'https://www.yelp.com/biz/sungei-road-laksa-singapore-2?hrid=NlgE6QAMDRIa1KasCAbSqw&adjust_creative=RAR4mRD7RoBdxl3I0__7fQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=RAR4mRD7RoBdxl3I0__7fQ', 'text': 'This is a simple bowl of laksa. No frills. I like the renovated stall. You only have one option now. Strictly $3 per bowl. No upsize. I saw people order two...', 'rating': 4, 'user': {'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/2XHwTGQ4kOC3RwcAuGhzWw/o.jpg', 'name': 'Carolyn L.'}, 'time_created': '2017-08-15 16:19:49'}], 'total': 38, 'possible_languages': ['en']}"
1,a-noodle-story-singapore,12,singaporean,"{'reviews': [{'url': 'https://www.yelp.com/biz/a-noodle-story-singapore?hrid=6BnLLvJNy6a_SiqSFmofzQ&adjust_creative=RAR4mRD7RoBdxl3I0__7fQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=RAR4mRD7RoBdxl3I0__7fQ', 'text': '50 minute wait. We got into the line at 12:22 and got our food at 10 minutes past one. If you have that kind of time this place worth the visit. \n\nWe got...', 'rating': 5, 'user': {'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/BpqNOW0gD8nLTQdo44dXpg/o.jpg', 'name': 'Anelya S.'}, 'time_created': '2017-08-02 23:18:26'}, {'url': 'https://www.yelp.com/biz/a-noodle-story-singapore?hrid=9vwuOvd5NnwBmOI0MwmcKA&adjust_creative=RAR4mRD7RoBdxl3I0__7fQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=RAR4mRD7RoBdxl3I0__7fQ', 'text': 'Yum yum yum! What a great way to take in the people watching experience that is Hawker Center by diving into this delicious experience. I love the take on...', 'rating': 5, 'user': {'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/fY9JKTD-y19xR5QDD93KCw/o.jpg', 'name': 'Tiffany D.'}, 'time_created': '2017-06-25 09:09:26'}, {'url': 'https://www.yelp.com/biz/a-noodle-story-singapore?hrid=K77D-BkmM1P-5ZAElqObVg&adjust_creative=RAR4mRD7RoBdxl3I0__7fQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=RAR4mRD7RoBdxl3I0__7fQ', 'text': 'Our last day in town and we got there around 2pm and they were sold out as we were in line.  The young owner explained that they ran out of a few toppings....', 'rating': 4, 'user': {'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/ZiFjAoFVj8Ju-4LGb1kC1g/o.jpg', 'name': 'Gavin K.'}, 'time_created': '2017-10-07 00:40:44'}], 'total': 12, 'possible_languages': ['en', 'sv']}"
2,mellben-signature-singapore,14,singaporean,"{'reviews': [{'url': 'https://www.yelp.com/biz/mellben-signature-singapore?hrid=gRg2nN3_qFTluVdqZ9-_mg&adjust_creative=RAR4mRD7RoBdxl3I0__7fQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=RAR4mRD7RoBdxl3I0__7fQ', 'text': 'Excellent food and service. The egg yolk ribs are unique and worth a visit alone. My colleagues and I enjoyed our first visit so much that we had to come...', 'rating': 5, 'user': {'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/nRplHaYleKWr9JHxFFeo_Q/o.jpg', 'name': 'Danesh I.'}, 'time_created': '2017-03-08 23:45:37'}, {'url': 'https://www.yelp.com/biz/mellben-signature-singapore?hrid=hmB-1TUvHvlPmCHYBuAqXg&adjust_creative=RAR4mRD7RoBdxl3I0__7fQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=RAR4mRD7RoBdxl3I0__7fQ', 'text': 'Over hyped. Wish I could get a refund for average food and bad attitude. We spent $100 on 1 chili crab and salted egg ribs. Both were meh. \n\nThey charge you...', 'rating': 2, 'user': {'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/vznwhtZO-Midfkojxq6ixA/o.jpg', 'name': 'kim w.'}, 'time_created': '2017-05-10 09:46:14'}, {'url': 'https://www.yelp.com/biz/mellben-signature-singapore?hrid=L3X48wiolc310vfACXkekQ&adjust_creative=RAR4mRD7RoBdxl3I0__7fQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=RAR4mRD7RoBdxl3I0__7fQ', 'text': 'Claypot crab bee hoon is the must-try item at Melben, and it lives up to the hype.  We had that along with chili crab with fried mantou, salted egg pork...', 'rating': 5, 'user': {'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/yC-QXCzQlqueBKxVyyvgug/o.jpg', 'name': 'Joanne G.'}, 'time_created': '2017-01-18 12:05:22'}], 'total': 14, 'possible_languages': ['en']}"
3,jian-bo-shui-kueh-singapore-4,12,singaporean,"{'reviews': [{'url': 'https://www.yelp.com/biz/jian-bo-shui-kueh-singapore-4?hrid=OUyMsjnND71OshAdz4K6Ow&adjust_creative=RAR4mRD7RoBdxl3I0__7fQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=RAR4mRD7RoBdxl3I0__7fQ', 'text': 'Yeap this shui kueh is nice. Probably one of the best shui kueh, translate as Water Cakes, you can find in Singapore.\n\nThe shui kueh is steamed rice flour...', 'rating': 4, 'user': {'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/DZjLShZaSRI6mCi2JlhiXg/o.jpg', 'name': 'C W.'}, 'time_created': '2016-10-16 00:35:32'}, {'url': 'https://www.yelp.com/biz/jian-bo-shui-kueh-singapore-4?hrid=CvYCseuh2Hi0NJRwam1-pA&adjust_creative=RAR4mRD7RoBdxl3I0__7fQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=RAR4mRD7RoBdxl3I0__7fQ', 'text': ""I already had so much food but I couldn't leave Tiong Bahru without having tasted some shui kueh, which apparently here, is the best you can get in..."", 'rating': 5, 'user': {'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/yf868D5bls5Pc-pkptD0CQ/o.jpg', 'name': 'Renato L.'}, 'time_created': '2016-03-06 21:40:55'}, {'url': 'https://www.yelp.com/biz/jian-bo-shui-kueh-singapore-4?hrid=KKnJKK4H1sLX-_6Xj4JAew&adjust_creative=RAR4mRD7RoBdxl3I0__7fQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=RAR4mRD7RoBdxl3I0__7fQ', 'text': ""I hunted this place down due to the reviews.  I didn't realize it was in a hawker market upstairs.  What a neat place.  All kinds of different food vendors...."", 'rating': 5, 'user': {'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/xXwNIT36XJwcCuDHnDIYVw/o.jpg', 'name': 'Loren P.'}, 'time_created': '2016-08-21 06:32:39'}], 'total': 12, 'possible_languages': ['en']}"
4,new-rasa-singapura-singapore,7,singaporean,"{'reviews': [{'url': 'https://www.yelp.com/biz/new-rasa-singapura-singapore?hrid=4sKws15U03Tx1ynlsBAvqg&adjust_creative=RAR4mRD7RoBdxl3I0__7fQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=RAR4mRD7RoBdxl3I0__7fQ', 'text': 'a new year, a new badge, a new review.\n\nfor none other than new rasa singapura!\nfor those who can remember, there was an old rasa singapura.\nfor those who...', 'rating': 5, 'user': {'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/cPcKeXBsLfoYb892CxO66Q/o.jpg', 'name': 'Nik T.'}, 'time_created': '2017-01-05 20:13:06'}, {'url': 'https://www.yelp.com/biz/new-rasa-singapura-singapore?hrid=dTRGRBlWpZbIbDgI0mZ4Fw&adjust_creative=RAR4mRD7RoBdxl3I0__7fQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=RAR4mRD7RoBdxl3I0__7fQ', 'text': ""$12 for chicken rice!?!?!? Before you throw a hissy fit about the price -- Let's be honest here, you can get really good Chicken rice for as low as $3.00 at..."", 'rating': 3, 'user': {'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/Qli7ep7YaLBnMS1G49FaCg/o.jpg', 'name': 'Miguel M.'}, 'time_created': '2016-02-29 05:40:30'}, {'url': 'https://www.yelp.com/biz/new-rasa-singapura-singapore?hrid=XCRF6fpwriESgXFkgm2nDg&adjust_creative=RAR4mRD7RoBdxl3I0__7fQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=RAR4mRD7RoBdxl3I0__7fQ', 'text': 'I actually came here to shadow a photographer during my first week as a temp at the Straits Times and discovered a lovely restaurant in the process!! The...', 'rating': 4, 'user': {'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/j3CEp7sNH1rsHcCAosrmlA/o.jpg', 'name': 'Tamara C.'}, 'time_created': '2016-01-23 09:25:52'}], 'total': 7, 'possible_languages': ['en', 'ja']}"
5,no-18-zion-road-char-kway-teow-singapore,19,singaporean,"{'reviews': [{'url': 'https://www.yelp.com/biz/no-18-zion-road-char-kway-teow-singapore?hrid=TkO9lIu6njqer4u5W_jMYg&adjust_creative=RAR4mRD7RoBdxl3I0__7fQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=RAR4mRD7RoBdxl3I0__7fQ', 'text': 'You know when you try a dish somewhere? And then it completely ruins every other version of the dish for you because that one just blew your mind away? This...', 'rating': 5, 'user': {'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/H6-ss55XD6LbFbB6b1GvPA/o.jpg', 'name': 'Kavita K.'}, 'time_created': '2016-08-29 07:58:57'}, {'url': 'https://www.yelp.com/biz/no-18-zion-road-char-kway-teow-singapore?hrid=owerUnUe7KtSFlpAzuekbw&adjust_creative=RAR4mRD7RoBdxl3I0__7fQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=RAR4mRD7RoBdxl3I0__7fQ', 'text': ""I've travelled far and wide.  The char kway teow is still the ultimate street food dish.  The fragrance when the dish is being prepared, the explosion of..."", 'rating': 5, 'user': {'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/NmkvTSyvSE1J0h89ZO0SKQ/o.jpg', 'name': 'Paul N.'}, 'time_created': '2016-01-04 23:11:57'}, {'url': 'https://www.yelp.com/biz/no-18-zion-road-char-kway-teow-singapore?hrid=fwblMioZ0h1jNhEfEZV75Q&adjust_creative=RAR4mRD7RoBdxl3I0__7fQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=RAR4mRD7RoBdxl3I0__7fQ', 'text': ""Maybe I just don't know enough about this specialty or read too much hype about it. I stood in line patiently and got a large plate of noodles. Yes it was..."", 'rating': 3, 'user': {'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/JZMHvtcu2s8bre4-CRrkDg/o.jpg', 'name': 'Jannet L.'}, 'time_created': '2016-11-21 11:56:39'}], 'total': 19, 'possible_languages': ['en', 'ja']}"
6,ya-kun-kaya-toast-singapore-9,24,singaporean,"{'reviews': [{'url': 'https://www.yelp.com/biz/ya-kun-kaya-toast-singapore-9?hrid=6OjENKdvJSvykYmJ6hNwVA&adjust_creative=RAR4mRD7RoBdxl3I0__7fQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=RAR4mRD7RoBdxl3I0__7fQ', 'text': 'My friend highly recommended the coconut jam here and told us to save room after dinner to try their toast.  Good thing we walked around before trying this...', 'rating': 5, 'user': {'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/5S1y-RyD_8kXBnau-yxovA/o.jpg', 'name': 'Linda L.'}, 'time_created': '2017-04-04 19:51:09'}, {'url': 'https://www.yelp.com/biz/ya-kun-kaya-toast-singapore-9?hrid=7FtqZOWIyiDd87y3wnOJaw&adjust_creative=RAR4mRD7RoBdxl3I0__7fQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=RAR4mRD7RoBdxl3I0__7fQ', 'text': 'I wanted in on this kaya business, as I saw references to it everywhere. Asked my friend KM what it actually was. Just toast with Asiany brioche-like bread...', 'rating': 4, 'user': {'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/G7vjRQMeDKQlMxi10x8o-g/o.jpg', 'name': 'Jana C.'}, 'time_created': '2017-07-12 10:15:39'}, {'url': 'https://www.yelp.com/biz/ya-kun-kaya-toast-singapore-9?hrid=QbyYCB8hC60AroMnWNHtnA&adjust_creative=RAR4mRD7RoBdxl3I0__7fQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=RAR4mRD7RoBdxl3I0__7fQ', 'text': ""Although this place is a chain, I'm still a big fan of this classic Singaporean breakfast chain. The usual kaya toast with butter, and soft-boiled eggs and..."", 'rating': 4, 'user': {'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/m8GaVNkbdiZtj9s5uPsxow/o.jpg', 'name': 'Eva K.'}, 'time_created': '2017-06-04 23:33:08'}], 'total': 24, 'possible_languages': ['en']}"
7,happy-crab-singapore,8,singaporean,"{'reviews': [{'url': 'https://www.yelp.com/biz/happy-crab-singapore?hrid=K3M3TEa8AWV1RDiO4Xy62Q&adjust_creative=RAR4mRD7RoBdxl3I0__7fQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=RAR4mRD7RoBdxl3I0__7fQ', 'text': 'This has got to be one of the best crab in singapore! I love the simplicity of the dish and I would always come back - one crab is definite not enough for...', 'rating': 5, 'user': {'image_url': None, 'name': 'Mutie K.'}, 'time_created': '2017-07-21 03:45:04'}, {'url': 'https://www.yelp.com/biz/happy-crab-singapore?hrid=QHtgIyV33KQCRtdZ6EDb-Q&adjust_creative=RAR4mRD7RoBdxl3I0__7fQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=RAR4mRD7RoBdxl3I0__7fQ', 'text': ""BBQ Crabs!  Why haven't anyone else thought of that?  A brilliant twist on the Teow Chew Cold Crab indeed.  Succulent, sweet crabs stuffed with melted roe..."", 'rating': 5, 'user': {'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/aIlbBVCdqqoanqrVHwEuvg/o.jpg', 'name': 'Christina C.'}, 'time_created': '2016-04-19 22:51:57'}, {'url': 'https://www.yelp.com/biz/happy-crab-singapore?hrid=cJe3NAaLODJ8Xa8GSSePYA&adjust_creative=RAR4mRD7RoBdxl3I0__7fQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=RAR4mRD7RoBdxl3I0__7fQ', 'text': 'Believe it or not, my favorite preparation of crab is simply steamed with melted salted butter.  Happy Crab shares that philosophy with simply grilled...', 'rating': 4, 'user': {'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/qP7nyl5WLNrpX-QAIRR8RQ/o.jpg', 'name': 'Ida C.'}, 'time_created': '2015-03-09 06:48:21'}], 'total': 8, 'possible_languages': ['en']}"
8,the-peranakan-singapore,4,singaporean,"{'reviews': [{'url': 'https://www.yelp.com/biz/the-peranakan-singapore?hrid=VHuZkvh-LR5R2EMHY_oWmg&adjust_creative=RAR4mRD7RoBdxl3I0__7fQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=RAR4mRD7RoBdxl3I0__7fQ', 'text': 'The restaurant is very pretty and in a very convenient location (Orchard Road!) which is more than I can say about most Peranakan restaurants. Come here if...', 'rating': 3, 'user': {'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/fjZwcauRGHh7eHxHxbq6Fw/o.jpg', 'name': 'SY C.'}, 'time_created': '2017-06-22 23:27:28'}, {'url': 'https://www.yelp.com/biz/the-peranakan-singapore?hrid=Oy-UuhPK0NBJmNILt3wrVA&adjust_creative=RAR4mRD7RoBdxl3I0__7fQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=RAR4mRD7RoBdxl3I0__7fQ', 'text': 'Located at the second, one could not help but stared at the colorful decorated restaurant. The restaurant was beautifully decorated with various traditional...', 'rating': 4, 'user': {'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/nkcfSrM1m8BT40IKPO3Gvw/o.jpg', 'name': 'Doreen T.'}, 'time_created': '2017-05-11 23:41:54'}, {'url': 'https://www.yelp.com/biz/the-peranakan-singapore?hrid=LHQJYnJyKI53pkNewkF3uQ&adjust_creative=RAR4mRD7RoBdxl3I0__7fQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=RAR4mRD7RoBdxl3I0__7fQ', 'text': 'Flavours that could turn you Baba.\n\nPeranakan Food, by far one of my favourite cuisines and one that easily touches not only the heart but the soul. \nThere...', 'rating': 5, 'user': {'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/u9rvUXlNujpVRC8bb6Arig/o.jpg', 'name': 'Jason L.'}, 'time_created': '2017-03-21 06:11:15'}], 'total': 4, 'possible_languages': ['en']}"
9,outram-park-fried-kway-teow-mee-singapore-2,21,singaporean,"{'reviews': [{'url': 'https://www.yelp.com/biz/outram-park-fried-kway-teow-mee-singapore-2?hrid=-Y3MTuM5wGJOqrN97ejmxQ&adjust_creative=RAR4mRD7RoBdxl3I0__7fQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=RAR4mRD7RoBdxl3I0__7fQ', 'text': 'Value for price? Amazing! For $3 you get a medium-sized portion of tasty fried kway teow. You will have to wait for around 30-40 minutes during the lunch...', 'rating': 5, 'user': {'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/18tpzml14OV2-S7q6Aqq1Q/o.jpg', 'name': 'Nik C.'}, 'time_created': '2016-05-28 23:51:24'}, {'url': 'https://www.yelp.com/biz/outram-park-fried-kway-teow-mee-singapore-2?hrid=jtaZskmJNnaJnP2_KVghBA&adjust_creative=RAR4mRD7RoBdxl3I0__7fQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=RAR4mRD7RoBdxl3I0__7fQ', 'text': 'I hardly eat char kway teow and the one that is stuck in my memory is from the early 90s when I was still a kid and the price was $1 a plate (slowly...', 'rating': 4, 'user': {'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/2XHwTGQ4kOC3RwcAuGhzWw/o.jpg', 'name': 'Carolyn L.'}, 'time_created': '2017-07-21 19:54:21'}, {'url': 'https://www.yelp.com/biz/outram-park-fried-kway-teow-mee-singapore-2?hrid=uAz1lTFHLh4m3KK2chz2lw&adjust_creative=RAR4mRD7RoBdxl3I0__7fQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=RAR4mRD7RoBdxl3I0__7fQ', 'text': 'Is this what they called the best in Singapore??? \nTotally soggy and all clumps together. Cannot taste any fried taste, more like boiled only. \nThe Long...', 'rating': 2, 'user': {'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/DZjLShZaSRI6mCi2JlhiXg/o.jpg', 'name': 'C W.'}, 'time_created': '2017-06-23 23:48:11'}], 'total': 21, 'possible_languages': ['en']}"
